onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	6	central	canonical	canonical	0.860
10.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.770
14.000	1.000	structured	1	2	5	central	canonical	canonical	0.678
18.000	1.000	structured	1	2	7	central	canonical	canonical	0.804
20.000	1.000	structured	1	2	9	central	canonical	canonical	0.860
26.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.848
30.000	1.000	structured	1	2	8	central	canonical	canonical	0.839
32.000	1.000	structured	1	2	6	central	canonical	canonical	0.742
34.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.764
38.000	1.000	structured	1	2	8	central	canonical	canonical	0.684
40.000	1.000	structured	1	2	10	boundary	rotated	rotated	0.867
42.000	1.000	structured	1	2	9	central	canonical	canonical	0.730
46.000	1.000	structured	1	2	7	central	canonical	canonical	0.687
50.000	1.000	structured	1	2	8	central	canonical	canonical	0.696
52.000	1.000	structured	1	2	5	central	canonical	canonical	0.654
56.000	1.000	structured	1	2	6	central	canonical	canonical	0.643
58.000	1.000	structured	1	2	8	central	canonical	canonical	0.619
62.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.738
66.000	1.000	structured	1	2	6	central	canonical	canonical	0.626
68.000	1.000	structured	1	2	4	boundary	rotated	rotated	0.835
74.000	1.000	structured	1	2	8	central	canonical	canonical	0.809
76.000	1.000	scrambled	2	2	5	central	canonical	canonical	0.614
82.000	1.000	scrambled	2	1	20	central	canonical	canonical	0.904
86.000	1.000	scrambled	2	3	17	boundary	canonical	canonical	0.753
88.000	1.000	scrambled	2	3	11	boundary	canonical	canonical	0.985
94.000	1.000	scrambled	2	1	1	central	canonical	canonical	0.785
96.000	1.000	scrambled	2	2	6	central	canonical	canonical	0.675
102.000	1.000	scrambled	2	2	8	central	canonical	canonical	0.704
104.000	1.000	scrambled	2	1	18	boundary	canonical	canonical	0.822
108.000	1.000	scrambled	2	1	3	boundary	canonical	canonical	0.692
114.000	1.000	scrambled	2	1	2	central	canonical	canonical	0.807
116.000	1.000	scrambled	2	2	9	central	canonical	canonical	0.754
122.000	1.000	scrambled	2	3	15	central	canonical	canonical	0.801
126.000	1.000	scrambled	2	2	4	boundary	canonical	canonical	0.997
128.000	1.000	scrambled	2	3	12	central	canonical	canonical	0.721
134.000	1.000	scrambled	2	3	16	central	canonical	canonical	0.716
136.000	1.000	scrambled	2	2	7	central	canonical	canonical	0.652
140.000	1.000	scrambled	2	2	10	boundary	canonical	canonical	0.643
144.000	1.000	scrambled	2	3	14	central	canonical	canonical	0.610
148.000	1.000	scrambled	2	1	21	central	canonical	canonical	0.599
152.000	1.000	scrambled	2	3	13	central	canonical	canonical	0.729
158.000	1.000	scrambled	2	1	19	central	canonical	canonical	0.724
160.000	1.000	structured	3	1	21	central	canonical	canonical	0.639
164.000	1.000	structured	3	1	2	central	canonical	canonical	0.824
170.000	1.000	structured	3	1	1	central	canonical	canonical	0.995
174.000	1.000	structured	3	1	20	central	canonical	canonical	0.995
176.000	1.000	structured	3	1	21	central	canonical	canonical	0.603
180.000	1.000	structured	3	1	1	central	canonical	canonical	0.591
186.000	1.000	structured	3	1	20	central	canonical	canonical	0.718
192.000	1.000	structured	3	1	21	central	canonical	canonical	0.650
194.000	1.000	structured	3	1	1	central	canonical	canonical	0.619
196.000	1.000	structured	3	1	20	central	canonical	canonical	0.698
200.000	1.000	structured	3	1	1	central	rotated	rotated	0.839
206.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.675
212.000	1.000	structured	3	1	2	central	canonical	canonical	0.991
218.000	1.000	structured	3	1	20	central	canonical	canonical	0.887
224.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.660
226.000	1.000	structured	3	3	17	boundary	canonical	canonical	0.643
228.000	1.000	structured	3	3	12	central	canonical	canonical	0.620
234.000	1.000	structured	3	3	17	boundary	rotated	rotated	0.866
240.000	1.000	structured	3	3	16	central	canonical	canonical	0.677
242.000	1.000	structured	3	3	17	boundary	rotated	rotated	0.698
244.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.643
246.000	1.000	structured	4	1	2	central	canonical	canonical	0.759
250.000	1.000	structured	4	1	1	central	canonical	canonical	0.631
256.000	1.000	structured	4	1	2	central	rotated	rotated	0.789
258.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.745
262.000	1.000	structured	4	1	2	central	rotated	rotated	0.723
268.000	1.000	structured	4	1	18	boundary	canonical	canonical	0.717
274.000	1.000	structured	4	1	1	central	canonical	canonical	0.644
278.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.698
282.000	1.000	structured	4	1	2	central	canonical	canonical	0.629
288.000	1.000	structured	4	1	20	central	canonical	canonical	0.697
292.000	1.000	structured	4	1	2	central	rotated	rotated	0.784
296.000	1.000	structured	4	1	19	central	canonical	canonical	0.577
298.000	1.000	structured	4	1	21	central	canonical	canonical	0.629
300.000	1.000	structured	4	1	19	central	rotated	canonical	0.732
306.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.796
308.000	1.000	structured	4	1	2	central	canonical	canonical	0.866
312.000	1.000	structured	4	1	19	central	canonical	canonical	0.854
318.000	1.000	structured	4	1	1	central	canonical	canonical	0.728
320.000	1.000	structured	4	1	3	boundary	canonical	canonical	0.754
322.000	1.000	structured	4	1	20	central	canonical	canonical	0.721
326.000	1.000	structured	4	1	21	central	canonical	canonical	0.611
328.000	1.000	scrambled	5	1	3	boundary	canonical	canonical	0.699
332.000	1.000	scrambled	5	1	18	boundary	canonical	canonical	0.728
336.000	1.000	scrambled	5	3	15	central	canonical	canonical	0.753
342.000	1.000	scrambled	5	1	2	central	canonical	canonical	0.719
348.000	1.000	scrambled	5	1	21	central	canonical	canonical	0.631
352.000	1.000	scrambled	5	3	13	central	canonical	canonical	0.745
358.000	1.000	scrambled	5	3	17	boundary	canonical	canonical	0.737
360.000	1.000	scrambled	5	3	16	central	canonical	canonical	0.604
366.000	1.000	scrambled	5	1	20	central	canonical	canonical	0.687
370.000	1.000	scrambled	5	2	7	central	canonical	canonical	0.634
