onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	2.643	central	ocean	1	19	16	21	2	2	2.643
3.143	3.300	central	ocean	1	2	6	19	2	2	3.300
6.943	3.502	central	desert	2	9	5	2	1	1	3.502
10.945	5.246	boundary2	ocean	1	3	7	18	2	2	5.246
16.690	4.374	boundary1	forest	3	11	10	13	2	1	4.374
21.564	3.728	central	desert	2	7	20	8	2	1	3.728
25.792	4.886	central	desert	2	8	5	15	1	2	4.886
31.178	4.818	boundary1	ocean	1	18	17	20	2	1	4.818
36.496	3.189	central	forest	3	12	5	15	2	2	3.189
40.186	2.707	central	forest	3	14	15	20	1	2	2.707
43.392	3.931	central	desert	2	9	14	6	2	1	3.931
47.824	5.697	central	ocean	1	21	2	14	1	2	5.697
54.020	2.904	boundary2	forest	3	11	17	9	1	2	2.904
57.425	2.529	central	ocean	1	21	1	8	1	2	2.529
60.453	3.573	central	ocean	1	1	7	2	2	1	3.573
64.526	3.067	central	forest	3	12	13	21	1	1	3.067
68.094	3.093	central	ocean	1	1	19	13	1	2	3.093
71.687	3.399	central	desert	2	6	7	1	1	1	3.399
75.586	3.792	boundary2	desert	2	10	4	12	1	2	3.792
79.879	3.060	central	ocean	1	20	9	21	2	2	3.060
83.439	2.973	boundary2	ocean	1	18	3	15	1	1	2.973
86.911	3.617	boundary1	forest	3	17	12	18	1	2	3.617
91.028	4.367	central	desert	2	6	12	8	2	1	4.367
95.895	2.572	central	forest	3	13	14	1	1	1	2.572
98.966	7.862	boundary1	desert	2	4	7	3	1	1	7.862
107.328	4.096	boundary2	desert	2	4	1	10	2	2	4.096
111.924	1.892	central	ocean	1	2	20	12	1	2	1.892
114.317	2.979	central	forest	3	15	16	19	1	2	2.979
117.795	2.677	boundary1	desert	2	10	11	9	2	2	2.677
120.973	2.985	central	forest	3	16	12	2	1	2	2.985
124.458	3.910	central	forest	3	14	8	12	2	1	3.910
128.868	3.525	central	desert	2	5	6	21	1	2	3.525
132.893	5.783	central	forest	3	13	7	16	2	2	5.783
139.176	5.972	boundary1	ocean	1	3	21	4	1	2	5.972
145.648	3.318	central	ocean	1	19	5	20	2	2	3.318
149.466	6.693	central	desert	2	8	9	19	1	1	6.693
156.659	1.986	central	forest	3	16	6	14	2	2	1.986
159.145	3.844	central	desert	2	5	13	7	2	1	3.844
163.489	6.799	central	forest	3	15	13	9	1	1	6.799
170.788	3.575	central	ocean	1	20	15	1	2	2	3.575
174.863	4.834	central	desert	2	7	16	9	2	2	4.834
180.197	4.337	boundary2	forest	3	17	20	11	2	2	4.337
