object	object_type	community	dim1	dim2
1	central	1	7	8
2	central	1	7	16
3	boundary	1	7	15
4	boundary	2	2	16
5	central	2	2	17
6	central	2	2	15
7	central	2	2	14
8	central	2	1	15
9	central	2	3	14
10	boundary	2	3	15
11	boundary	3	1	2
12	central	3	1	1
13	central	3	1	3
14	central	3	2	2
15	central	3	2	1
16	central	3	2	3
17	boundary	3	8	8
18	boundary	1	8	15
19	central	1	8	16
20	central	1	8	7
21	central	1	7	7
