onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
0.000	1.500	structured	1	1	19	central	canonical	n/a	n/a
1.500	1.500	structured	1	1	20	central	canonical	canonical	1.380
3.000	1.500	structured	1	1	1	central	canonical	canonical	0.898
4.500	1.500	structured	1	1	3	boundary	canonical	canonical	1.299
6.000	1.500	structured	1	1	1	central	rotated	rotated	1.380
7.500	1.500	structured	1	1	18	boundary	canonical	canonical	1.188
9.000	1.500	structured	1	1	2	central	canonical	canonical	1.003
10.500	1.500	structured	1	1	21	central	canonical	canonical	0.978
12.000	1.500	structured	1	1	19	central	canonical	canonical	0.924
13.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.881
15.000	1.500	structured	1	1	21	central	canonical	canonical	0.866
16.500	1.500	structured	1	1	20	central	canonical	canonical	0.954
18.000	1.500	structured	1	1	3	boundary	canonical	canonical	1.491
19.500	1.500	structured	1	1	21	central	canonical	canonical	1.073
21.000	1.500	structured	1	1	1	central	canonical	canonical	0.706
22.500	1.500	structured	1	1	2	central	canonical	canonical	0.706
24.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.867
25.500	1.500	structured	1	1	1	central	canonical	canonical	0.712
27.000	1.500	structured	1	1	19	central	canonical	canonical	0.810
28.500	1.500	structured	1	1	21	central	canonical	canonical	0.834
30.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.977
31.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.707
33.000	1.500	structured	1	2	8	central	canonical	canonical	0.979
34.500	1.500	structured	1	2	7	central	canonical	canonical	0.834
36.000	1.500	structured	1	2	6	central	canonical	canonical	1.097
37.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.920
39.000	1.500	structured	1	2	8	central	canonical	n/a	n/a
40.500	1.500	structured	1	2	4	boundary	rotated	rotated	1.255
42.000	1.500	structured	1	2	6	central	canonical	canonical	1.313
43.500	1.500	structured	1	2	7	central	canonical	canonical	0.840
45.000	1.500	structured	1	2	6	central	rotated	rotated	1.000
46.500	1.500	structured	1	2	5	central	canonical	canonical	0.865
48.000	1.500	structured	1	2	9	central	canonical	canonical	0.944
49.500	1.500	structured	1	2	8	central	canonical	canonical	1.480
51.000	1.500	structured	1	2	6	central	canonical	canonical	0.928
52.500	1.500	structured	1	2	10	boundary	canonical	canonical	0.712
54.000	1.500	structured	1	2	5	central	canonical	canonical	0.854
55.500	1.500	structured	1	2	8	central	canonical	canonical	1.024
57.000	1.500	structured	1	2	5	central	rotated	rotated	0.960
58.500	1.500	structured	1	2	6	central	canonical	canonical	0.927
60.000	1.500	structured	1	2	8	central	canonical	rotated	1.103
61.500	1.500	structured	1	2	6	central	rotated	n/a	n/a
63.000	1.500	structured	1	2	7	central	canonical	canonical	0.893
64.500	1.500	structured	1	2	8	central	canonical	canonical	1.398
66.000	1.500	structured	1	2	9	central	canonical	canonical	1.198
67.500	1.500	structured	1	2	10	boundary	canonical	canonical	1.359
69.000	1.500	structured	1	2	5	central	canonical	canonical	1.494
70.500	1.500	structured	1	2	7	central	canonical	canonical	1.125
72.000	1.500	structured	1	2	10	boundary	canonical	canonical	0.989
73.500	1.500	structured	1	2	7	central	rotated	rotated	0.903
75.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.886
76.500	1.500	structured	1	2	6	central	canonical	canonical	1.061
78.000	1.500	structured	1	2	8	central	canonical	canonical	1.069
79.500	1.500	structured	1	2	6	central	rotated	rotated	0.982
81.000	1.500	structured	1	2	9	central	canonical	canonical	0.741
82.500	1.500	structured	1	2	7	central	canonical	canonical	0.957
84.000	1.500	structured	1	2	6	central	canonical	canonical	0.987
85.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.892
87.000	1.500	structured	1	2	7	central	canonical	canonical	0.859
88.500	1.500	structured	1	2	9	central	canonical	canonical	0.933
90.000	1.500	structured	1	2	5	central	canonical	canonical	0.851
91.500	1.500	structured	1	2	9	central	rotated	rotated	1.245
93.000	1.500	structured	1	2	5	central	rotated	rotated	1.362
94.500	1.500	structured	1	2	8	central	canonical	canonical	0.843
96.000	1.500	structured	1	2	4	boundary	canonical	canonical	0.780
97.500	1.500	structured	1	2	6	central	canonical	canonical	0.787
