object	object_type	community	dim1	dim2
1	central	1	1	1
2	central	1	10	18
3	boundary	1	1	17
4	boundary	2	0	0
5	central	2	0	17
6	central	2	0	18
7	central	2	10	1
8	central	2	10	0
9	central	2	9	17
10	boundary	2	1	18
11	boundary	3	9	1
12	central	3	10	2
13	central	3	9	2
14	central	3	10	17
15	central	3	1	10
16	central	3	2	10
17	boundary	3	9	18
18	boundary	1	6	7
19	central	1	2	11
20	central	1	0	1
21	central	1	1	11
