onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.821
6.000	1.000	structured	1	2	9	central	canonical	canonical	0.755
10.000	1.000	structured	1	2	7	central	canonical	canonical	0.676
16.000	1.000	structured	1	2	8	central	canonical	canonical	0.771
20.000	1.000	structured	1	2	7	central	rotated	rotated	0.788
22.000	1.000	structured	1	2	5	central	canonical	canonical	0.763
24.000	1.000	structured	1	2	7	central	rotated	rotated	0.789
26.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.810
32.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.663
34.000	1.000	structured	1	1	21	central	canonical	canonical	0.650
36.000	1.000	structured	1	1	19	central	canonical	canonical	0.645
40.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.612
44.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.625
46.000	1.000	structured	1	1	3	boundary	rotated	rotated	0.687
48.000	1.000	structured	1	1	20	central	canonical	canonical	0.603
50.000	1.000	structured	1	1	19	central	canonical	canonical	0.637
56.000	1.000	structured	1	1	2	central	canonical	canonical	0.636
58.000	1.000	structured	1	1	19	central	rotated	rotated	0.777
60.000	1.000	structured	1	1	1	central	canonical	canonical	0.663
66.000	1.000	structured	1	1	20	central	canonical	canonical	0.671
70.000	1.000	structured	1	1	2	central	canonical	canonical	0.586
76.000	1.000	scrambled	2	1	20	central	rotated	rotated	0.797
80.000	1.000	scrambled	2	1	21	central	canonical	canonical	0.587
84.000	1.000	scrambled	2	2	9	central	canonical	canonical	0.970
86.000	1.000	scrambled	2	1	19	central	canonical	canonical	0.652
88.000	1.000	scrambled	2	1	3	boundary	canonical	canonical	0.607
94.000	1.000	scrambled	2	3	13	central	canonical	canonical	0.996
100.000	1.000	scrambled	2	1	18	boundary	canonical	canonical	0.736
102.000	1.000	scrambled	2	2	6	central	canonical	canonical	0.649
104.000	1.000	scrambled	2	3	15	central	canonical	canonical	0.607
110.000	1.000	scrambled	2	3	11	boundary	canonical	canonical	0.649
116.000	1.000	scrambled	2	1	1	central	canonical	canonical	0.686
122.000	1.000	scrambled	2	2	10	boundary	canonical	canonical	0.608
126.000	1.000	scrambled	2	2	4	boundary	canonical	canonical	0.662
130.000	1.000	scrambled	2	2	5	central	canonical	canonical	0.672
132.000	1.000	scrambled	2	3	14	central	canonical	canonical	0.828
134.000	1.000	scrambled	2	2	8	central	canonical	canonical	0.635
138.000	1.000	scrambled	2	3	16	central	canonical	canonical	0.600
140.000	1.000	scrambled	2	3	17	boundary	canonical	canonical	0.687
142.000	1.000	scrambled	2	1	2	central	canonical	canonical	0.602
148.000	1.000	scrambled	2	3	12	central	canonical	canonical	0.604
150.000	1.000	scrambled	2	2	7	central	canonical	canonical	0.548
154.000	1.000	structured	3	2	8	central	canonical	canonical	0.540
158.000	1.000	structured	3	2	4	boundary	canonical	canonical	0.642
162.000	1.000	structured	3	2	8	central	rotated	rotated	0.785
168.000	1.000	structured	3	2	10	boundary	canonical	canonical	0.607
170.000	1.000	structured	3	3	11	boundary	canonical	canonical	0.663
176.000	1.000	structured	3	3	12	central	canonical	canonical	0.622
180.000	1.000	structured	3	3	15	central	canonical	canonical	0.683
186.000	1.000	structured	3	3	11	boundary	canonical	canonical	0.767
190.000	1.000	structured	3	3	14	central	canonical	canonical	0.610
196.000	1.000	structured	3	3	13	central	canonical	canonical	0.708
202.000	1.000	structured	3	3	11	boundary	canonical	canonical	0.660
204.000	1.000	structured	3	3	13	central	rotated	rotated	0.998
208.000	1.000	structured	3	3	11	boundary	rotated	rotated	0.918
212.000	1.000	structured	3	3	14	central	canonical	canonical	0.671
218.000	1.000	structured	3	3	11	boundary	rotated	rotated	0.797
220.000	1.000	structured	3	3	13	central	canonical	canonical	0.907
226.000	1.000	structured	3	3	12	central	canonical	canonical	0.675
228.000	1.000	structured	3	3	17	boundary	canonical	canonical	0.716
232.000	1.000	structured	3	3	15	central	canonical	canonical	0.778
234.000	1.000	structured	3	3	14	central	canonical	canonical	0.752
236.000	1.000	structured	3	3	13	central	canonical	canonical	0.749
240.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.987
246.000	1.000	structured	4	3	14	central	canonical	canonical	0.733
250.000	1.000	structured	4	3	15	central	canonical	canonical	0.660
256.000	1.000	structured	4	3	12	central	canonical	canonical	0.631
262.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.792
266.000	1.000	structured	4	3	14	central	canonical	canonical	0.797
270.000	1.000	structured	4	3	12	central	canonical	canonical	0.648
274.000	1.000	structured	4	3	16	central	canonical	canonical	0.661
276.000	1.000	structured	4	3	11	boundary	canonical	canonical	0.730
280.000	1.000	structured	4	3	15	central	canonical	canonical	0.598
282.000	1.000	structured	4	3	11	boundary	rotated	rotated	0.826
284.000	1.000	structured	4	3	12	central	canonical	canonical	0.597
290.000	1.000	structured	4	3	14	central	canonical	canonical	0.694
294.000	1.000	structured	4	3	12	central	rotated	rotated	0.709
298.000	1.000	structured	4	3	17	boundary	canonical	canonical	0.571
300.000	1.000	structured	4	3	16	central	canonical	canonical	0.665
304.000	1.000	structured	4	3	12	central	canonical	canonical	0.648
310.000	1.000	structured	4	3	15	central	canonical	canonical	0.645
314.000	1.000	structured	4	3	16	central	canonical	canonical	0.667
318.000	1.000	structured	4	3	13	central	canonical	canonical	0.815
324.000	1.000	structured	4	3	12	central	canonical	canonical	0.701
330.000	1.000	scrambled	5	2	8	central	canonical	canonical	0.787
332.000	1.000	scrambled	5	2	7	central	canonical	canonical	0.767
338.000	1.000	scrambled	5	3	17	boundary	canonical	canonical	0.704
340.000	1.000	scrambled	5	3	15	central	canonical	canonical	0.645
342.000	1.000	scrambled	5	3	14	central	canonical	canonical	0.607
348.000	1.000	scrambled	5	1	21	central	canonical	canonical	0.606
350.000	1.000	scrambled	5	1	3	boundary	canonical	canonical	0.747
354.000	1.000	scrambled	5	3	12	central	canonical	canonical	0.524
360.000	1.000	scrambled	5	1	20	central	canonical	canonical	0.550
366.000	1.000	scrambled	5	3	16	central	canonical	canonical	0.636
370.000	1.000	scrambled	5	2	10	boundary	canonical	canonical	0.680
372.000	1.000	scrambled	5	2	5	central	canonical	canonical	0.767
376.000	1.000	scrambled	5	2	9	central	canonical	canonical	0.769
380.000	1.000	scrambled	5	1	2	central	canonical	canonical	0.627
384.000	1.000	scrambled	5	1	1	central	canonical	canonical	0.608
386.000	1.000	scrambled	5	2	6	central	canonical	canonical	0.597
392.000	1.000	scrambled	5	3	13	central	canonical	canonical	0.650
394.000	1.000	scrambled	5	1	18	boundary	canonical	canonical	0.576
400.000	1.000	scrambled	5	1	19	central	canonical	canonical	0.643
404.000	1.000	scrambled	5	2	4	boundary	canonical	canonical	0.632
408.000	1.000	scrambled	5	3	11	boundary	canonical	canonical	0.690
414.000	1.000	structured	6	3	16	central	canonical	canonical	0.710
416.000	1.000	structured	6	3	11	boundary	rotated	rotated	0.873
422.000	1.000	structured	6	3	14	central	canonical	canonical	0.719
428.000	1.000	structured	6	3	13	central	canonical	canonical	0.723
430.000	1.000	structured	6	3	12	central	canonical	canonical	0.711
436.000	1.000	structured	6	3	13	central	rotated	rotated	0.815
442.000	1.000	structured	6	3	17	boundary	canonical	canonical	0.581
446.000	1.000	structured	6	1	18	boundary	canonical	canonical	0.602
452.000	1.000	structured	6	1	21	central	canonical	canonical	0.661
458.000	1.000	structured	6	1	20	central	canonical	canonical	0.680
460.000	1.000	structured	6	1	21	central	rotated	rotated	0.689
462.000	1.000	structured	6	1	2	central	canonical	canonical	0.604
468.000	1.000	structured	6	1	19	central	canonical	canonical	0.696
474.000	1.000	structured	6	1	18	boundary	canonical	canonical	0.924
480.000	1.000	structured	6	1	1	central	canonical	canonical	0.832
482.000	1.000	structured	6	1	20	central	canonical	canonical	0.712
484.000	1.000	structured	6	1	2	central	canonical	canonical	0.681
488.000	1.000	structured	6	1	20	central	rotated	rotated	0.755
494.000	1.000	structured	6	1	1	central	canonical	canonical	0.684
500.000	1.000	structured	6	1	21	central	canonical	canonical	0.651
504.000	1.000	structured	6	1	18	boundary	canonical	canonical	0.672
508.000	1.000	structured	7	1	19	central	canonical	canonical	0.736
512.000	1.000	structured	7	1	20	central	canonical	canonical	0.609
516.000	1.000	structured	7	1	21	central	canonical	canonical	0.687
518.000	1.000	structured	7	1	2	central	canonical	canonical	0.686
522.000	1.000	structured	7	1	3	boundary	canonical	canonical	0.621
526.000	1.000	structured	7	1	2	central	rotated	rotated	0.709
532.000	1.000	structured	7	1	21	central	canonical	canonical	0.601
534.000	1.000	structured	7	1	19	central	canonical	canonical	0.645
538.000	1.000	structured	7	1	20	central	canonical	canonical	0.569
544.000	1.000	structured	7	1	19	central	rotated	rotated	0.730
550.000	1.000	structured	7	1	2	central	canonical	canonical	0.733
552.000	1.000	structured	7	1	3	boundary	canonical	canonical	0.670
554.000	1.000	structured	7	1	1	central	canonical	canonical	0.625
558.000	1.000	structured	7	1	20	central	canonical	canonical	0.622
562.000	1.000	structured	7	1	21	central	canonical	canonical	0.589
566.000	1.000	structured	7	1	2	central	canonical	canonical	0.697
570.000	1.000	structured	7	1	1	central	canonical	canonical	0.686
572.000	1.000	structured	7	1	21	central	canonical	canonical	0.552
578.000	1.000	structured	7	1	18	boundary	canonical	canonical	0.784
584.000	1.000	structured	7	1	2	central	canonical	canonical	0.610
590.000	1.000	structured	7	1	21	central	canonical	canonical	0.682
