onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	1	19	central	canonical	n/a	n/a
10.000	1.000	structured	1	1	20	central	canonical	canonical	0.721
16.000	1.000	structured	1	1	19	central	rotated	rotated	0.994
22.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.693
26.000	1.000	structured	1	1	20	central	canonical	canonical	0.638
32.000	1.000	structured	1	1	21	central	canonical	canonical	0.541
36.000	1.000	structured	1	1	20	central	rotated	rotated	0.985
42.000	1.000	structured	1	1	19	central	canonical	canonical	0.654
48.000	1.000	structured	1	1	2	central	canonical	canonical	0.920
50.000	1.000	structured	1	1	20	central	canonical	canonical	0.874
52.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.713
54.000	1.000	structured	1	1	1	central	canonical	canonical	0.622
56.000	1.000	structured	1	1	20	central	canonical	canonical	0.680
58.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.676
62.000	1.000	structured	1	1	21	central	canonical	canonical	0.659
66.000	1.000	structured	1	1	1	central	canonical	canonical	0.651
68.000	1.000	structured	1	1	20	central	canonical	canonical	0.670
72.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.571
74.000	1.000	structured	1	1	21	central	canonical	canonical	0.558
76.000	1.000	structured	1	1	3	boundary	rotated	rotated	0.670
78.000	1.000	structured	1	1	21	central	rotated	rotated	0.680
82.000	1.000	structured	2	1	1	central	canonical	canonical	0.585
88.000	1.000	structured	2	1	20	central	canonical	canonical	0.574
94.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.613
100.000	1.000	structured	2	1	1	central	canonical	canonical	0.627
104.000	1.000	structured	2	1	20	central	canonical	canonical	0.817
110.000	1.000	structured	2	1	18	boundary	canonical	canonical	0.595
116.000	1.000	structured	2	3	17	boundary	canonical	canonical	0.670
118.000	1.000	structured	2	3	15	central	canonical	canonical	0.592
120.000	1.000	structured	2	3	14	central	canonical	canonical	0.684
126.000	1.000	structured	2	3	15	central	rotated	rotated	0.857
130.000	1.000	structured	2	3	12	central	canonical	canonical	0.668
136.000	1.000	structured	2	3	16	central	canonical	canonical	0.831
138.000	1.000	structured	2	3	13	central	canonical	canonical	0.931
