onset	duration	trial_type	environment	community	cue	opt1	opt2	within_opt	response	response_time
0.000	1.936	central	forest	3	14	15	20	1	1	1.936
2.436	1.779	central	desert	2	6	7	2	1	2	1.779
4.715	1.851	central	desert	2	5	21	6	2	2	1.851
7.066	1.412	central	ocean	1	19	5	20	2	2	1.412
8.978	1.840	boundary2	forest	3	11	9	17	2	1	1.840
11.318	1.277	central	desert	2	5	12	7	2	1	1.277
13.095	2.522	central	ocean	1	2	19	7	1	1	2.522
16.117	1.248	boundary1	desert	2	4	7	3	1	1	1.248
17.865	1.513	central	forest	3	12	21	13	2	2	1.513
19.878	1.880	boundary1	ocean	1	18	17	20	2	2	1.880
22.258	1.819	boundary1	forest	3	17	13	18	1	2	1.819
24.577	1.548	boundary1	forest	3	11	10	16	2	1	1.548
26.625	2.056	central	desert	2	8	9	19	1	1	2.056
29.182	1.871	boundary1	desert	2	10	6	11	1	2	1.871
31.552	1.694	central	ocean	1	20	21	8	1	2	1.694
33.747	1.528	central	ocean	1	1	6	2	2	2	1.528
35.774	1.605	boundary2	desert	2	4	10	21	1	1	1.605
37.879	1.428	central	desert	2	7	20	8	2	1	1.428
39.808	2.256	central	forest	3	16	1	12	2	2	2.256
42.564	1.586	boundary2	ocean	1	3	8	18	2	2	1.586
44.650	1.753	central	forest	3	13	14	2	1	1	1.753
46.903	1.509	boundary2	ocean	1	18	13	3	2	2	1.509
48.912	1.305	central	desert	2	8	15	5	2	1	1.305
50.716	1.489	central	ocean	1	20	1	15	1	1	1.489
52.706	1.797	central	forest	3	15	19	16	2	2	1.797
55.003	1.623	central	desert	2	6	13	8	2	1	1.623
57.126	1.264	central	desert	2	7	9	14	1	1	1.264
58.890	1.799	central	forest	3	13	16	6	1	1	1.799
61.189	1.592	central	ocean	1	2	20	13	1	1	1.592
63.281	2.232	boundary1	ocean	1	3	4	21	2	1	2.232
66.012	2.424	central	forest	3	14	9	12	2	2	2.424
68.937	1.332	central	forest	3	16	7	14	2	1	1.332
70.769	2.351	central	desert	2	9	6	16	1	2	2.351
73.620	2.168	boundary2	desert	2	10	4	16	1	1	2.168
76.287	1.808	central	ocean	1	19	21	14	1	1	1.808
78.595	1.094	central	ocean	1	1	19	12	1	1	1.094
80.189	1.615	central	forest	3	12	5	15	2	2	1.615
82.303	1.382	boundary2	forest	3	17	11	19	1	1	1.382
84.186	1.709	central	ocean	1	21	1	9	1	2	1.709
86.394	2.046	central	ocean	1	21	16	2	2	2	2.046
88.940	1.288	central	forest	3	15	8	13	2	2	1.288
90.729	2.149	central	desert	2	9	5	1	1	2	2.149
