object	object_type	community	dim1	dim2
1	central	1	7	14
2	central	1	5	14
3	boundary	1	7	15
4	boundary	2	8	4
5	central	2	7	3
6	central	2	8	5
7	central	2	7	5
8	central	2	8	3
9	central	2	8	2
10	boundary	2	7	2
11	boundary	3	2	3
12	central	3	1	1
13	central	3	2	4
14	central	3	1	3
15	central	3	2	2
16	central	3	2	1
17	boundary	3	1	2
18	boundary	1	1	4
19	central	1	6	14
20	central	1	7	4
21	central	1	6	15
